"Date","Open","High","Low","Close","Adj Close","Volume"
"Jul 1, 2024","275.00","275.80","271.60","272.95","264.36","11,750,972"
"Jun 28, 2024","269.00","275.45","268.35","274.20","265.57","19,532,912"
"Jun 27, 2024","267.40","268.10","263.50","267.50","259.08","22,830,930"
"Jun 26, 2024","266.90","269.15","264.10","267.75","259.33","10,650,910"
"Jun 25, 2024","270.10","270.80","265.00","267.00","258.60","14,425,434"
"Jun 24, 2024","269.65","271.25","266.60","269.90","261.41","7,282,347"
"Jun 21, 2024","271.45","274.75","268.90","269.65","261.17","17,406,416"
"Jun 20, 2024","271.80","274.00","269.10","271.85","263.30","12,826,509"
"Jun 19, 2024","275.90","276.60","271.10","271.55","263.01","13,361,607"
"Jun 18, 2024","278.95","279.00","274.00","275.80","267.12","17,044,769"
"Jun 14, 2024","277.00","278.20","274.60","275.40","266.74","10,642,648"
"Jun 13, 2024","278.00","278.00","272.50","276.55","267.85","16,013,386"
"Jun 12, 2024","278.00","279.10","274.60","275.50","266.83","20,560,662"
"Jun 11, 2024","266.85","275.00","265.25","273.55","264.94","47,270,206"
"Jun 10, 2024","264.00","264.00","258.05","259.15","251.00","14,138,524"
"Jun 7, 2024","253.50","260.80","251.80","260.40","252.21","22,010,688"
"Jun 6, 2024","254.00","259.50","249.25","252.30","244.36","30,881,233"
"Jun 5, 2024","247.00","249.75","230.45","247.50","239.71","37,078,551"
"Jun 4, 2024","285.00","285.00","223.00","236.30","228.87","72,779,900"
"Jun 3, 2024","277.95","286.55","273.20","284.10","275.16","30,195,397"
"May 31, 2024","268.45","268.45","263.00","264.35","256.03","24,167,379"
"May 30, 2024","273.00","275.10","265.00","266.70","258.31","15,390,964"
"May 29, 2024","273.80","273.80","270.25","271.85","263.30","8,327,205"
"May 28, 2024","279.30","279.30","273.05","274.30","265.67","6,927,361"
"May 27, 2024","284.00","284.20","275.70","277.65","268.91","13,719,808"
"May 24, 2024","284.00","285.95","281.85","283.25","274.34","11,041,667"
"May 23, 2024","279.95","284.55","279.10","283.45","274.53","17,719,819"
"May 22, 2024","284.00","284.00","276.90","278.00","269.25","17,935,064"
"May 21, 2024","281.10","284.00","278.35","280.10","271.29","17,559,555"
"May 17, 2024","278.80","283.40","276.60","277.45","268.72","11,529,157"
"May 16, 2024","276.00","279.35","273.80","277.65","268.91","23,757,779"
"May 15, 2024","274.50","276.00","272.50","273.45","264.85","6,368,662"
"May 14, 2024","267.95","274.65","266.45","272.90","264.31","9,123,849"
"May 13, 2024","271.90","271.90","262.05","266.90","258.50","7,163,239"
"May 10, 2024","267.00","271.20","264.45","270.25","261.75","9,530,738"
"May 9, 2024","277.25","278.55","263.20","265.25","256.90","14,869,187"
"May 8, 2024","273.50","280.25","272.35","276.85","268.14","12,797,721"
"May 7, 2024","283.90","285.00","272.00","273.60","264.99","13,179,001"
"May 6, 2024","288.70","288.75","275.25","282.15","273.27","15,491,865"
"May 3, 2024","284.00","292.95","284.00","286.10","277.10","28,913,016"
"May 2, 2024","281.00","284.60","279.05","282.80","273.90","15,677,336"
"Apr 30, 2024","284.50","286.35","281.45","282.85","273.95","10,658,906"
"Apr 29, 2024","283.95","285.25","282.15","283.20","274.29","8,952,420"
"Apr 26, 2024","283.00","286.15","282.20","282.90","274.00","11,070,290"
"Apr 25, 2024","279.35","282.60","278.00","281.95","273.08","17,050,557"
"Apr 24, 2024","277.60","280.40","276.30","279.35","270.56","9,253,985"
"Apr 23, 2024","276.85","278.75","275.55","276.80","268.09","8,799,147"
"Apr 22, 2024","277.30","278.00","273.75","276.80","268.09","14,184,019"
"Apr 19, 2024","276.75","280.80","274.10","275.25","266.59","32,658,724"
"Apr 18, 2024","286.00","287.70","273.35","274.15","265.52","34,136,482"
"Apr 16, 2024","277.00","292.55","275.25","283.15","274.24","79,082,544"
"Apr 15, 2024","269.10","282.95","267.10","279.85","271.05","75,063,828"
"Apr 12, 2024","271.90","272.50","265.00","265.70","257.34","21,894,584"
"Apr 10, 2024","269.95","273.20","269.15","272.00","263.44","11,137,195"
"Apr 9, 2024","270.00","272.65","268.00","268.95","260.49","13,173,933"
"Apr 8, 2024","267.55","272.00","266.60","270.40","261.89","13,011,300"
"Apr 5, 2024","267.85","271.90","266.50","267.95","259.52","13,029,904"
"Apr 4, 2024","278.65","278.65","265.35","269.00","260.54","24,624,383"
"Apr 3, 2024","275.05","279.00","273.85","275.35","266.69","22,600,929"
"Apr 2, 2024","270.10","274.05","269.45","272.50","263.93","14,439,120"
"Apr 1, 2024","268.05","271.50","267.80","269.90","261.41","6,440,401"
"Mar 28, 2024","262.45","271.00","261.95","268.05","259.62","18,888,942"
"Mar 27, 2024","265.00","268.20","259.65","261.75","253.52","28,563,001"
"Mar 26, 2024","261.65","267.90","259.30","265.50","257.15","10,830,926"
"Mar 22, 2024","262.95","265.25","258.45","263.25","254.97","13,025,089"
"Mar 21, 2024","264.70","266.95","262.35","262.95","254.68","12,163,200"
"Mar 20, 2024","259.45","264.60","257.20","263.85","255.55","10,484,778"
"Mar 19, 2024","262.00","263.95","256.65","259.25","251.09","8,758,348"
"Mar 18, 2024","258.95","263.05","257.55","261.60","253.37","9,246,173"
"Mar 15, 2024","263.95","266.40","248.90","258.75","250.61","34,961,065"
"Mar 14, 2024","252.50","264.35","251.20","263.25","254.97","21,404,057"
"Mar 13, 2024","270.80","271.00","252.75","255.35","247.32","20,079,496"
"Mar 12, 2024","274.00","275.60","269.05","270.40","261.89","13,780,189"
"Mar 11, 2024","278.10","280.50","273.20","274.00","265.38","10,684,598"
"Mar 7, 2024","280.25","284.35","277.25","278.10","269.35","11,386,963"
"Mar 6, 2024","284.30","284.30","273.55","280.25","271.43","16,807,149"
"Mar 5, 2024","280.00","284.95","276.65","283.75","274.82","18,544,484"
"Mar 4, 2024","272.75","280.55","272.50","279.20","270.42","22,280,353"
"Mar 1, 2024","266.50","272.95","266.50","270.55","262.04","12,930,057"
"Feb 29, 2024","265.00","266.35","261.50","264.60","256.28","17,179,832"
"Feb 28, 2024","270.00","270.30","264.60","265.75","257.39","9,118,196"
"Feb 27, 2024","268.05","270.20","264.95","269.35","260.88","19,582,774"
"Feb 26, 2024","271.90","271.90","267.80","269.85","261.36","8,661,999"
"Feb 23, 2024","274.90","276.00","271.10","272.20","263.64","9,464,646"
"Feb 22, 2024","273.85","276.00","268.50","274.70","266.06","16,791,453"
"Feb 21, 2024","276.00","281.10","271.60","272.95","264.36","16,340,579"
"Feb 20, 2024","274.80","281.15","274.05","276.60","267.90","18,968,785"
"Feb 19, 2024","274.70","279.05","272.40","274.65","266.01","15,322,964"
"Feb 16, 2024","4.00 Dividend"
"Feb 16, 2024","275.15","278.00","270.35","274.70","266.06","27,044,984"
"Feb 15, 2024","271.65","279.85","269.00","277.30","264.70","32,831,246"
"Feb 14, 2024","258.00","269.65","256.00","268.85","256.64","36,168,962"
"Feb 13, 2024","258.00","262.40","254.70","259.50","247.71","20,711,842"
"Feb 12, 2024","261.95","266.60","256.80","257.90","246.18","30,906,374"
"Feb 9, 2024","275.00","275.65","259.15","267.55","255.39","26,743,792"
"Feb 8, 2024","273.05","275.65","269.10","273.15","260.74","25,252,940"
"Feb 7, 2024","275.00","275.65","267.55","271.90","259.55","23,756,939"
"Feb 6, 2024","265.35","273.40","260.20","272.30","259.93","36,708,949"
"Feb 5, 2024","260.05","268.05","255.10","262.95","251.00","34,001,868"
"Feb 2, 2024","250.00","260.00","249.00","257.25","245.56","30,482,663"
"Feb 1, 2024","254.65","254.65","245.45","247.65","236.40","29,758,133"
"Jan 31, 2024","250.45","254.35","246.30","252.25","240.79","33,293,192"
"Jan 30, 2024","256.50","263.30","248.65","249.20","237.88","51,491,099"
"Jan 29, 2024","241.00","254.95","239.10","252.50","241.03","54,127,939"
"Jan 25, 2024","235.00","237.50","232.80","234.05","223.42","18,291,957"
"Jan 24, 2024","231.00","235.00","228.10","234.35","223.70","14,458,601"
"Jan 23, 2024","245.00","245.65","228.00","229.90","219.46","20,282,617"
"Jan 19, 2024","236.00","242.55","235.00","242.05","231.05","26,391,844"
"Jan 18, 2024","230.05","234.50","224.65","233.55","222.94","19,232,183"
"Jan 17, 2024","232.20","237.25","230.70","232.05","221.51","26,010,955"
"Jan 16, 2024","234.95","238.95","231.10","235.10","224.42","34,505,065"
"Jan 15, 2024","228.50","235.45","224.65","233.50","222.89","57,884,916"
"Jan 12, 2024","213.80","224.75","212.35","223.40","213.25","39,228,118"
"Jan 11, 2024","214.00","214.00","210.85","211.85","202.23","12,586,419"
"Jan 10, 2024","215.00","215.00","209.70","212.10","202.46","16,500,666"
